1 35 69
2 70 63
3 23 26
4 87 89
5 57 80
6 58 31
7 64 73
8 65 39
9 30 71
10 77 16
11 91 31
12 84 21
13 90 87
14 72 96
15 83 41
16 23 87
17 32 80
18 84 25
19 18 22
20 89 44
21 13 23
22 63 95
23 83 82
24 10 35
25 41 39
26 16 14
27 84 29
28 13 52
29 50 84
30 70 90
31 91 31
32 10 27
33 31 28
34 75 71
35 38 92
36 10 41
37 66 28
38 31 12
39 53 57
40 80 20
41 49 49
42 17 35
43 87 55
44 84 55
45 87 64
46 91 77
47 88 99
48 21 23
49 23 72
50 48 78
51 76 63
52 98 37
53 23 29
54 66 59
55 19 63
56 25 98
57 22 87
58 15 27
59 57 19
60 81 82
61 43 29
62 73 48
63 35 33
64 21 57
65 86 42
66 37 97
67 66 91
68 65 37
69 17 19
70 23 54
71 53 76
72 70 63
73 92 80
74 22 86
75 61 32
76 17 11
77 32 81
78 37 11
79 28 32
80 66 85
81 50 29
82 13 62
83 89 52
84 97 16
85 35 29
86 39 15
87 38 81
88 86 60
89 45 46
90 80 51
91 85 59
92 45 38
93 30 58
94 57 25
95 54 13
96 78 53
97 15 23
98 78 46
99 32 28
100 92 93
